,population_den,Area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
"Block Group 3, Census Tract 305.02, Faulkner County, Arkansas",848.50,0.64,0.60,0.53,51,0.53,0.00,0.16,0.02,0.45,0.20,0.18,0.60,0.06,0.08,0.32,0.00,0.06,1990.00,0.89,0.08,0.00,0.00
"Block Group 4, Census Tract 305.02, Faulkner County, Arkansas",4787.30,0.27,0.62,0.57,227,0.66,0.00,0.20,0.03,0.63,0.25,0.54,0.88,0.47,0.09,0.62,0.03,0.15,1998.00,0.41,0.12,0.16,0.00
"Block Group 1, Census Tract 305.03, Faulkner County, Arkansas",3026.90,0.52,0.56,0.07,506,0.88,0.00,0.05,0.00,0.61,0.15,0.71,1.00,0.57,0.36,0.95,0.16,0.18,1996.00,0.27,0.00,0.00,0.00
"Block Group 2, Census Tract 305.03, Faulkner County, Arkansas",12915.80,0.17,0.39,0.00,247,0.59,0.00,0.11,0.00,0.86,0.07,0.26,0.86,0.36,0.12,0.51,0.07,0.07,2008.00,0.78,0.00,0.08,0.00
"Block Group 3, Census Tract 305.03, Faulkner County, Arkansas",568.00,2.96,0.34,0.00,164,0.70,0.00,0.10,0.02,0.70,0.09,0.64,0.84,0.27,0.21,0.45,0.08,0.06,2004.00,0.75,0.21,0.09,0.00
"Block Group 1, Census Tract 305.04, Faulkner County, Arkansas",2426.70,0.76,0.68,0.63,408,0.82,0.00,0.25,0.00,0.56,0.12,0.71,0.92,0.45,0.27,0.83,0.03,0.14,2003.00,0.25,0.08,0.16,0.00
"Block Group 2, Census Tract 305.04, Faulkner County, Arkansas",4362.70,0.42,0.55,0.55,268,1.00,0.00,0.08,0.00,1.00,0.20,0.87,0.83,0.60,0.35,0.83,0.12,0.14,2010.00,0.65,0.09,0.10,0.00
"Block Group 3, Census Tract 305.04, Faulkner County, Arkansas",3647.80,0.58,0.57,0.13,692,0.98,0.00,0.06,0.00,0.87,0.00,0.83,0.92,0.60,0.38,0.88,0.00,0.08,2006.00,0.35,,0.00,0.00
"Block Group 4, Census Tract 305.04, Faulkner County, Arkansas",240.60,4.48,0.60,0.00,255,0.85,0.00,0.21,0.00,0.75,0.44,0.74,0.89,0.31,0.28,0.68,0.10,0.26,2010.00,0.49,0.24,0.06,0.00
"Block Group 1, Census Tract 306, Faulkner County, Arkansas",3013.50,0.84,0.45,0.03,674,0.81,0.00,0.10,0.02,0.83,0.20,0.52,0.84,0.33,0.27,0.77,0.09,0.24,1992.00,0.44,0.51,0.04,0.00
"Block Group 2, Census Tract 306, Faulkner County, Arkansas",2143.90,0.52,0.56,0.59,406,0.74,0.00,0.34,0.06,0.63,0.56,0.72,0.90,0.26,0.26,0.75,0.00,0.31,1984.00,0.42,0.52,0.00,0.04
"Block Group 3, Census Tract 306, Faulkner County, Arkansas",3441.60,0.45,0.49,0.37,258,0.64,0.00,0.27,0.05,0.47,0.12,0.55,0.90,0.54,0.34,0.59,0.09,0.07,1976.00,0.38,0.18,0.02,0.00
"Block Group 1, Census Tract 307.01, Faulkner County, Arkansas",4249.90,0.41,0.55,0.75,177,0.49,0.00,0.26,0.03,0.57,0.08,0.40,0.62,0.10,0.23,0.34,0.08,0.03,1980.00,0.55,0.25,0.03,0.07
"Block Group 2, Census Tract 307.01, Faulkner County, Arkansas",2959.80,0.55,0.55,0.51,93,0.26,0.00,0.02,0.04,0.72,0.06,0.35,0.75,0.23,0.05,0.71,0.10,0.19,1975.00,0.52,0.14,0.01,0.00
"Block Group 1, Census Tract 307.02, Faulkner County, Arkansas",3403.10,0.61,0.54,0.63,97,0.41,0.00,0.35,0.01,0.45,0.18,0.42,0.77,0.46,0.26,0.63,0.02,0.04,1994.00,0.78,0.29,0.11,0.01
"Block Group 2, Census Tract 307.02, Faulkner County, Arkansas",3343.70,0.31,0.38,0.21,115,0.63,0.00,0.34,0.02,0.80,0.13,0.50,0.98,0.54,0.21,0.43,0.03,0.37,1965.00,0.37,0.03,0.01,0.00
"Block Group 3, Census Tract 307.02, Faulkner County, Arkansas",3592.70,0.32,0.56,0.61,149,0.62,0.00,0.32,0.02,0.78,0.15,0.61,0.60,0.18,0.22,0.43,0.06,0.05,1980.00,0.41,0.33,0.13,0.00
"Block Group 1, Census Tract 308, Faulkner County, Arkansas",4663.30,0.19,0.66,0.84,95,0.64,0.00,0.26,0.00,0.72,0.12,0.70,0.80,0.14,0.12,0.27,0.02,0.10,1992.00,0.46,0.21,0.12,0.00
"Block Group 2, Census Tract 308, Faulkner County, Arkansas",2155.60,0.38,0.59,0.54,77,0.63,0.00,0.19,0.00,0.21,0.33,0.21,0.63,0.21,0.14,0.41,0.04,0.28,1994.00,0.69,0.28,0.08,0.00
"Block Group 3, Census Tract 308, Faulkner County, Arkansas",5607.30,0.38,0.65,,0,,0.00,0.00,0.06,,,0.20,1.00,0.00,0.00,,,, ,,,0.12,0.00
"Block Group 4, Census Tract 308, Faulkner County, Arkansas",854.40,0.74,0.57,0.34,260,0.74,0.00,0.21,0.00,0.52,0.32,0.55,0.81,0.18,0.31,0.57,0.03,0.31,1996.00,0.17,0.00,0.03,0.00
"Block Group 5, Census Tract 308, Faulkner County, Arkansas",2733.20,0.45,0.48,0.33,111,0.43,0.00,0.25,0.01,0.69,0.21,0.43,0.65,0.40,0.23,0.63,0.04,0.10,1992.00,0.56,0.27,0.04,0.09
"Block Group 1, Census Tract 309, Faulkner County, Arkansas",4199.10,0.25,0.66,0.85,57,0.51,0.00,0.30,0.02,0.25,0.20,0.35,0.56,0.23,0.10,0.40,0.00,0.10,1985.00,0.60,0.39,0.04,0.00
"Block Group 2, Census Tract 309, Faulkner County, Arkansas",4360.30,0.32,0.51,0.59,99,0.38,0.26,0.24,0.03,0.37,0.06,0.27,0.68,0.26,0.26,0.43,0.05,0.02,1974.00,0.49,0.30,0.06,0.02
"Block Group 3, Census Tract 309, Faulkner County, Arkansas",551.50,1.77,0.48,0.95,59,0.35,0.00,0.36,0.00,0.85,0.11,0.00,0.54,0.43,0.21,0.56,0.03,0.02,1975.00,0.69,0.43,0.16,0.00
"Block Group 1, Census Tract 310.01, Faulkner County, Arkansas",5101.00,0.36,0.49,0.62,393,0.66,0.00,0.18,0.03,0.53,0.12,0.55,0.88,0.55,0.24,0.80,0.10,0.09,1991.00,0.39,0.28,0.12,0.00
"Block Group 2, Census Tract 310.01, Faulkner County, Arkansas",1896.40,0.84,0.55,0.38,509,0.81,0.00,0.18,0.01,0.68,0.21,0.46,0.77,0.58,0.30,0.91,0.38,0.24,1994.00,0.39,0.00,0.02,0.00
"Block Group 3, Census Tract 310.01, Faulkner County, Arkansas",984.60,1.64,0.43,0.54,98,0.74,0.00,0.15,0.02,0.17,0.08,0.67,0.91,0.27,0.10,0.72,0.06,0.31,1996.00,0.85,0.13,0.04,0.00
"Block Group 1, Census Tract 310.03, Faulkner County, Arkansas",2653.30,0.56,0.55,0.16,194,0.57,0.01,0.19,0.02,0.64,0.12,0.49,0.62,0.26,0.10,0.42,0.08,0.04,1991.00,0.70,0.23,0.13,0.00
"Block Group 2, Census Tract 310.03, Faulkner County, Arkansas",174.10,6.17,0.46,0.13,304,0.62,0.49,0.31,0.02,0.43,0.24,0.36,0.87,0.21,0.19,0.39,0.10,0.08,1999.00,0.85,0.04,0.03,0.00
"Block Group 1, Census Tract 310.06, Faulkner County, Arkansas",2150.30,0.70,0.51,0.33,385,0.62,0.36,0.23,0.02,0.66,0.41,0.64,0.70,0.20,0.20,0.44,0.02,0.13,1997.00,0.45,0.51,0.03,0.00
"Block Group 2, Census Tract 310.06, Faulkner County, Arkansas",365.40,5.46,0.51,0.22,670,0.77,0.00,0.15,0.03,0.76,0.10,0.54,0.94,0.30,0.35,0.54,0.10,0.04,2000.00,0.50,0.22,0.10,0.00
"Block Group 1, Census Tract 310.07, Faulkner County, Arkansas",4058.90,0.47,0.59,0.00,633,0.92,0.00,0.02,0.01,0.92,0.11,0.58,1.00,0.67,0.33,0.79,0.05,0.25,2004.00,0.14,,0.16,0.00
"Block Group 2, Census Tract 310.07, Faulkner County, Arkansas",6432.60,0.33,0.51,0.21,70,0.66,0.00,0.10,0.00,0.69,0.02,0.42,0.75,0.24,0.14,0.33,0.18,0.04,2013.00,0.81,0.16,0.08,0.00
"Block Group 1, Census Tract 310.08, Faulkner County, Arkansas",191.90,9.01,0.50,0.34,459,0.83,0.00,0.13,0.08,0.51,0.22,0.81,0.97,0.49,0.39,0.80,0.26,0.07,2001.00,0.61,0.00,0.00,0.00
"Block Group 2, Census Tract 310.08, Faulkner County, Arkansas",2727.50,1.09,0.57,0.06,535,0.80,0.00,0.21,0.02,0.90,0.03,0.67,0.82,0.22,0.23,0.36,0.07,0.02,2007.00,0.67,0.24,0.03,0.00
"Block Group 1, Census Tract 311.01, Faulkner County, Arkansas",386.30,5.16,0.50,0.25,618,0.59,0.00,0.26,0.07,0.46,0.35,0.65,0.79,0.28,0.16,0.75,0.11,0.08,1985.00,0.91,0.39,0.02,0.00
"Block Group 2, Census Tract 311.01, Faulkner County, Arkansas",212.10,3.47,0.48,0.05,197,0.49,0.00,0.18,0.03,0.65,0.23,0.30,0.89,0.41,0.31,0.82,0.02,0.21,1987.00,0.71,0.00,0.06,0.00
"Block Group 3, Census Tract 311.01, Faulkner County, Arkansas",215.20,11.31,0.46,0.00,793,0.42,0.00,0.27,0.04,0.72,0.25,0.33,0.80,0.26,0.26,0.53,0.17,0.05,1987.00,0.68,0.33,0.08,0.00
"Block Group 1, Census Tract 311.02, Faulkner County, Arkansas",147.80,13.97,0.50,0.14,643,0.52,0.00,0.24,0.08,0.70,0.17,0.41,0.93,0.48,0.32,0.79,0.04,0.22,1992.00,0.54,0.05,0.04,0.00
"Block Group 2, Census Tract 311.02, Faulkner County, Arkansas",144.90,9.51,0.44,0.49,284,0.75,0.00,0.21,0.00,0.55,0.22,0.55,0.90,0.65,0.27,0.90,0.08,0.13,1997.00,0.43,0.13,0.07,0.00
"Block Group 3, Census Tract 311.02, Faulkner County, Arkansas",52.20,32.19,0.39,0.10,531,0.41,0.00,0.13,0.00,0.45,0.13,0.47,0.78,0.59,0.29,0.83,0.06,0.06,1994.00,0.65,0.00,0.09,0.00
"Block Group 1, Census Tract 9501, Franklin County, Arkansas",7.30,145.48,0.53,0.30,375,0.43,0.51,0.26,0.00,0.54,0.20,0.24,0.80,0.25,0.16,0.69,0.06,0.22,1989.00,0.79,0.71,0.00,0.00
"Block Group 2, Census Tract 9501, Franklin County, Arkansas",9.40,134.05,0.57,0.33,497,0.39,0.14,0.20,0.00,0.41,0.20,0.39,0.69,0.30,0.35,0.66,0.11,0.19,1990.00,0.48,0.00,0.14,0.00
"Block Group 3, Census Tract 9501, Franklin County, Arkansas",31.20,38.31,0.50,0.10,258,0.60,0.00,0.09,0.01,0.39,0.21,0.43,0.91,0.48,0.16,0.78,0.21,0.22,1997.00,0.45,0.00,0.16,0.00
"Block Group 1, Census Tract 9502.01, Franklin County, Arkansas",46.10,71.29,0.47,0.13,1018,0.45,0.44,0.20,0.01,0.50,0.22,0.36,0.72,0.42,0.30,0.69,0.15,0.10,1980.00,0.59,0.19,0.12,0.00
"Block Group 1, Census Tract 9502.02, Franklin County, Arkansas",194.90,3.17,0.35,0.74,160,0.26,0.00,0.63,0.00,0.51,0.19,0.00,0.66,0.45,0.25,0.63,0.10,0.11,1985.00,0.79,0.13,0.46,0.00
"Block Group 2, Census Tract 9502.02, Franklin County, Arkansas",266.80,5.06,0.57,0.10,215,0.55,0.00,0.18,0.00,0.74,0.21,0.85,0.60,0.39,0.23,0.68,0.06,0.12,1983.00,0.65,0.36,0.14,0.00
"Block Group 3, Census Tract 9502.02, Franklin County, Arkansas",1722.50,0.85,0.59,0.14,93,0.47,0.00,0.39,0.16,0.52,0.12,0.60,0.71,0.34,0.16,0.45,0.05,0.03,1987.00,0.58,0.13,0.10,0.00
"Block Group 1, Census Tract 9503.01, Franklin County, Arkansas",30.30,73.78,0.47,0.00,789,0.30,0.00,0.21,0.03,0.47,0.27,0.42,0.72,0.35,0.27,0.76,0.08,0.12,1987.00,0.58,0.00,0.13,0.00
"Block Group 2, Census Tract 9503.01, Franklin County, Arkansas",12.60,69.97,0.49,0.00,254,0.49,0.00,0.24,0.02,0.47,0.28,0.30,0.66,0.36,0.25,0.48,0.12,0.14,1981.00,0.56,0.00,0.10,0.00
"Block Group 3, Census Tract 9503.01, Franklin County, Arkansas",23.60,30.67,0.41,0.07,264,0.55,0.11,0.31,0.01,0.23,0.23,0.57,0.60,0.27,0.14,0.48,0.19,0.10,1980.00,0.56,0.21,0.11,0.00
"Block Group 1, Census Tract 9503.02, Franklin County, Arkansas",125.30,13.23,0.55,0.24,329,0.40,0.00,0.28,0.03,0.55,0.26,0.43,0.85,0.35,0.19,0.64,0.09,0.04,1969.00,0.48,0.08,0.05,0.00
"Block Group 2, Census Tract 9503.02, Franklin County, Arkansas",61.70,23.11,0.50,0.32,474,0.66,0.00,0.25,0.03,0.64,0.12,0.70,0.90,0.42,0.36,0.77,0.06,0.23,1984.00,0.48,0.09,0.04,0.00
"Block Group 1, Census Tract 5501.01, Fulton County, Arkansas",8.60,102.48,0.45,0.20,489,0.53,0.00,0.52,0.00,0.44,0.57,0.82,0.80,0.23,0.23,0.48,0.26,0.09,1985.00,0.57,,0.47,0.00
"Block Group 2, Census Tract 5501.01, Fulton County, Arkansas",18.40,51.61,0.55,0.38,443,0.11,0.00,0.29,0.00,0.34,0.20,0.13,0.78,0.19,0.30,0.54,0.00,0.23,1994.00,0.43,,0.04,0.00
"Block Group 3, Census Tract 5501.01, Fulton County, Arkansas",41.60,37.78,0.45,0.17,396,0.55,0.00,0.26,0.08,0.29,0.35,0.67,0.88,0.40,0.20,0.80,0.10,0.27,1993.00,0.59,0.00,0.25,0.00
"Block Group 1, Census Tract 5501.02, Fulton County, Arkansas",11.30,64.80,0.40,0.15,310,0.55,0.00,0.41,0.00,0.29,0.30,0.41,0.81,0.23,0.33,0.47,0.06,0.12,1995.00,0.47,0.00,0.03,0.00
"Block Group 2, Census Tract 5501.02, Fulton County, Arkansas",369.20,2.36,0.47,0.04,216,0.58,0.30,0.21,0.00,0.57,0.26,0.21,0.77,0.34,0.30,0.69,0.12,0.15,1975.00,0.47,0.03,0.17,0.00
"Block Group 3, Census Tract 5501.02, Fulton County, Arkansas",91.90,6.90,0.56,0.30,211,0.63,0.00,0.22,0.02,0.38,0.16,0.47,0.71,0.45,0.24,0.70,0.06,0.21,1974.00,0.51,0.00,0.05,0.00
"Block Group 1, Census Tract 5502.01, Fulton County, Arkansas",6.10,72.19,0.47,0.00,163,0.59,0.00,0.29,0.03,0.63,0.18,0.00,0.70,0.36,0.22,0.72,0.21,0.11,2001.00,0.69,1.00,0.00,0.00
"Block Group 2, Census Tract 5502.01, Fulton County, Arkansas",38.20,28.82,0.56,0.02,326,0.46,0.00,0.43,0.00,0.59,0.22,0.59,0.75,0.29,0.16,0.41,0.03,0.17,1979.00,0.68,0.07,0.12,0.00
"Block Group 3, Census Tract 5502.01, Fulton County, Arkansas",61.60,20.99,0.54,0.43,288,0.58,0.00,0.44,0.01,0.61,0.20,0.51,0.58,0.24,0.17,0.48,0.05,0.10,1977.00,0.72,0.29,0.04,0.00
"Block Group 1, Census Tract 5502.02, Fulton County, Arkansas",14.50,84.51,0.57,0.43,383,0.59,0.26,0.46,0.06,0.41,0.13,0.60,0.73,0.38,0.16,0.55,0.10,0.18,1980.00,0.49,0.20,0.07,0.00
"Block Group 2, Census Tract 5502.02, Fulton County, Arkansas",17.80,71.90,0.50,0.00,285,0.32,0.26,0.23,0.05,0.65,0.17,0.71,0.90,0.48,0.18,0.84,0.17,0.08,1978.00,0.67,0.00,0.11,0.00
"Block Group 3, Census Tract 5502.02, Fulton County, Arkansas",14.90,73.68,0.57,0.12,363,0.44,0.00,0.18,0.01,0.29,0.37,0.16,0.95,0.36,0.24,0.80,0.02,0.13,1987.00,0.61,0.18,0.02,0.00
"Block Group 1, Census Tract 103.01, Garland County, Arkansas",75.40,15.59,0.50,0.16,356,0.33,0.00,0.26,0.01,0.21,0.17,0.26,0.63,0.38,0.20,0.57,0.03,0.12,1979.00,0.53,0.47,0.12,0.00
"Block Group 2, Census Tract 103.01, Garland County, Arkansas",98.70,2.34,0.62,0.00,153,0.51,0.00,0.50,0.00,0.37,0.16,0.65,0.57,0.09,0.29,0.33,0.09,0.42,1979.00,0.51,,0.12,0.00
"Block Group 3, Census Tract 103.01, Garland County, Arkansas",498.60,4.20,0.43,0.52,586,0.52,0.00,0.34,0.01,0.70,0.45,0.50,0.97,0.39,0.26,0.59,0.06,0.13,1992.00,0.61,0.00,0.07,0.00
"Block Group 1, Census Tract 103.02, Garland County, Arkansas",147.60,11.22,0.49,0.62,432,0.66,0.00,0.27,0.25,0.68,0.20,0.47,0.95,0.53,0.28,0.58,0.32,0.24,2000.00,0.71,0.00,0.00,0.00
"Block Group 2, Census Tract 103.02, Garland County, Arkansas",19.80,41.15,0.50,0.00,259,0.56,0.00,0.24,0.04,0.24,0.25,0.64,1.00,0.44,0.27,0.74,0.00,0.69,1986.00,0.75,0.00,0.00,0.00
"Block Group 1, Census Tract 104.01, Garland County, Arkansas",121.80,16.03,0.49,0.17,626,0.52,0.13,0.19,0.00,0.36,0.28,0.43,0.86,0.17,0.19,0.70,0.15,0.18,1984.00,0.64,0.00,0.08,0.00
"Block Group 2, Census Tract 104.01, Garland County, Arkansas",246.00,7.09,0.51,0.13,618,0.64,0.03,0.24,0.01,0.43,0.66,0.33,0.95,0.18,0.11,0.66,0.05,0.63,2001.00,0.90,0.68,0.09,0.00
"Block Group 1, Census Tract 104.02, Garland County, Arkansas",53.40,23.18,0.48,0.42,406,0.40,0.00,0.24,0.04,0.72,0.21,0.42,0.86,0.62,0.30,0.72,0.27,0.18,1996.00,0.73,0.32,0.10,0.00
"Block Group 2, Census Tract 104.02, Garland County, Arkansas",133.40,10.65,0.46,0.18,402,0.29,0.00,0.46,0.09,0.59,0.13,0.00,0.74,0.68,0.23,0.69,0.22,0.06,1979.00,0.69,0.00,0.03,0.00
"Block Group 3, Census Tract 104.02, Garland County, Arkansas",64.70,17.58,0.43,0.00,366,0.40,0.00,0.20,0.00,0.20,0.27,0.25,0.73,0.27,0.24,0.78,0.05,0.17,1977.00,0.56,0.48,0.04,0.00
"Block Group 1, Census Tract 105.01, Garland County, Arkansas",718.60,3.04,0.43,0.21,763,0.69,0.00,0.17,0.00,0.54,0.24,0.48,0.92,0.36,0.30,0.71,0.01,0.14,1990.00,0.73,0.30,0.10,0.00
"Block Group 2, Census Tract 105.01, Garland County, Arkansas",47.80,32.42,0.54,0.00,297,0.71,0.00,0.13,0.04,0.65,0.14,0.40,1.00,0.63,0.34,0.83,0.16,0.25,1998.00,0.59,0.12,0.08,0.00
"Block Group 3, Census Tract 105.01, Garland County, Arkansas",306.00,2.74,0.41,0.60,389,0.64,0.00,0.20,0.00,0.56,0.39,0.87,0.93,0.42,0.28,0.88,0.03,0.18,2002.00,1.00,,0.07,0.00
"Block Group 1, Census Tract 105.02, Garland County, Arkansas",140.00,4.69,0.36,0.18,265,0.62,0.00,0.14,0.00,0.37,0.11,0.89,0.93,0.38,0.26,0.73,0.20,0.06,1994.00,0.55,0.00,0.12,0.00
"Block Group 2, Census Tract 105.02, Garland County, Arkansas",33.50,41.03,0.64,0.40,383,0.38,0.00,0.17,0.05,0.43,0.24,0.40,0.78,0.51,0.36,0.77,0.23,0.08,1993.00,0.76,0.00,0.05,0.00
"Block Group 1, Census Tract 106.01, Garland County, Arkansas",222.80,7.84,0.63,0.89,503,0.59,0.00,0.38,0.03,0.59,0.23,0.22,0.82,0.44,0.26,0.73,0.04,0.10,1976.00,0.42,0.14,0.16,0.00
"Block Group 1, Census Tract 106.02, Garland County, Arkansas",1259.00,0.82,0.57,1.00,156,0.27,0.00,0.44,0.04,0.30,0.17,0.36,0.68,0.38,0.20,0.66,0.10,0.00,1971.00,0.45,0.10,0.12,0.00
"Block Group 2, Census Tract 106.02, Garland County, Arkansas",3538.00,0.15,0.71,0.31,28,0.21,0.50,0.19,0.19,1.00,0.15,0.04,0.31,0.23,0.36,0.13,0.24,0.00,1973.00,0.59,0.22,0.09,0.00
"Block Group 3, Census Tract 106.02, Garland County, Arkansas",805.30,0.37,0.31,1.00,64,0.36,0.00,0.34,0.04,0.55,0.24,0.74,0.63,0.26,0.21,0.50,0.25,0.00,1949.00,0.48,0.00,0.00,0.00
"Block Group 1, Census Tract 107, Garland County, Arkansas",254.20,2.23,0.63,1.00,133,0.56,0.00,0.36,0.06,0.58,0.23,0.16,0.68,0.27,0.19,0.45,0.12,0.20,0.00,0.36,0.18,0.27,0.00
"Block Group 2, Census Tract 107, Garland County, Arkansas",2560.80,0.24,0.44,0.82,135,0.51,0.00,0.54,0.02,0.57,0.10,0.38,0.49,0.25,0.16,0.39,0.10,0.06,1944.00,0.42,0.13,0.17,0.00
"Block Group 3, Census Tract 107, Garland County, Arkansas",545.70,1.35,0.50,0.51,57,0.46,0.00,0.34,0.04,0.44,0.13,0.45,0.26,0.07,0.19,0.16,0.13,0.08,1945.00,0.79,0.11,0.18,0.00
"Block Group 1, Census Tract 108, Garland County, Arkansas",285.00,3.67,0.46,0.56,186,0.62,0.00,0.14,0.04,0.48,0.13,0.28,0.71,0.57,0.17,0.76,0.09,0.13,1974.00,0.68,0.12,0.07,0.00
"Block Group 2, Census Tract 108, Garland County, Arkansas",587.20,0.99,0.49,1.00,159,0.52,0.00,0.42,0.00,0.54,0.39,0.57,0.46,0.03,0.15,0.32,0.09,0.19,1955.00,0.53,0.11,0.08,0.00
"Block Group 3, Census Tract 108, Garland County, Arkansas",4829.60,0.21,0.45,0.43,202,0.57,0.12,0.25,0.00,0.46,0.07,0.27,0.66,0.08,0.39,0.51,0.12,0.14,1947.00,0.30,0.18,0.03,0.00
"Block Group 1, Census Tract 109, Garland County, Arkansas",297.10,3.03,0.58,0.00,207,0.43,0.00,0.31,0.02,0.31,0.19,0.57,0.79,0.25,0.15,0.44,0.16,0.10,1968.00,0.28,0.00,0.21,0.00
"Block Group 2, Census Tract 109, Garland County, Arkansas",704.90,1.90,0.61,0.27,420,0.64,0.00,0.34,0.00,0.39,0.33,0.25,0.74,0.23,0.17,0.48,0.07,0.52,1987.00,0.63,0.36,0.34,0.00
"Block Group 3, Census Tract 109, Garland County, Arkansas",3371.80,0.24,0.60,1.00,180,0.56,0.00,0.57,0.05,0.47,0.18,0.47,0.79,0.21,0.28,0.31,0.05,0.11,1967.00,0.38,0.17,0.22,0.00
"Block Group 4, Census Tract 109, Garland County, Arkansas",4694.30,0.14,0.52,0.66,79,0.46,0.33,0.40,0.03,0.47,0.11,0.00,0.39,0.55,0.21,0.60,0.00,0.00,1966.00,0.21,0.51,0.44,0.00
"Block Group 1, Census Tract 110.01, Garland County, Arkansas",567.40,3.66,0.51,0.67,489,0.49,0.00,0.34,0.07,0.64,0.10,0.42,0.69,0.34,0.30,0.46,0.11,0.06,1984.00,0.73,0.17,0.00,0.00
"Block Group 2, Census Tract 110.01, Garland County, Arkansas",1876.00,0.84,0.53,0.20,374,0.43,0.00,0.33,0.01,0.45,0.26,0.25,0.75,0.27,0.31,0.56,0.06,0.23,1979.00,0.71,0.64,0.19,0.00
"Block Group 1, Census Tract 110.02, Garland County, Arkansas",588.80,2.54,0.48,0.55,293,0.72,0.00,0.25,0.19,0.50,0.29,0.12,0.83,0.53,0.25,0.69,0.13,0.13,1997.00,0.73,0.13,0.00,0.00
"Block Group 1, Census Tract 111.01, Garland County, Arkansas",99.00,7.75,0.46,0.53,223,0.56,0.00,0.16,0.00,0.48,0.25,0.54,0.66,0.51,0.19,0.69,0.11,0.43,1979.00,0.94,0.00,0.07,0.00
"Block Group 2, Census Tract 111.01, Garland County, Arkansas",57.90,41.31,0.57,0.18,704,0.57,0.00,0.17,0.06,0.47,0.16,0.42,0.84,0.38,0.33,0.70,0.17,0.03,1997.00,0.79,0.00,0.15,0.00
"Block Group 3, Census Tract 111.01, Garland County, Arkansas",187.40,11.72,0.46,0.48,766,0.59,0.30,0.29,0.01,0.71,0.35,0.50,0.94,0.50,0.34,0.90,0.19,0.37,1992.00,0.96,0.00,0.07,0.00
"Block Group 1, Census Tract 111.02, Garland County, Arkansas",77.30,15.20,0.52,0.00,494,0.45,0.00,0.27,0.00,0.55,0.47,0.58,0.93,0.24,0.26,0.55,0.20,0.25,1994.00,0.86,0.00,0.26,0.00
"Block Group 2, Census Tract 111.02, Garland County, Arkansas",216.50,4.28,0.47,0.34,361,0.68,0.00,0.16,0.03,0.56,0.22,0.67,0.98,0.35,0.29,0.84,0.29,0.37,1992.00,0.59,,0.09,0.00
"Block Group 3, Census Tract 111.02, Garland County, Arkansas",57.20,33.36,0.50,0.00,562,0.61,0.00,0.05,0.04,0.57,0.28,0.69,0.90,0.52,0.23,0.94,0.26,0.08,1994.00,0.79,0.00,0.17,0.00
"Block Group 1, Census Tract 112.01, Garland County, Arkansas",1478.60,1.33,0.52,0.25,670,0.79,0.00,0.13,0.08,0.63,0.32,0.45,0.91,0.47,0.18,0.81,0.14,0.35,1996.00,0.68,0.00,0.15,0.00
"Block Group 2, Census Tract 112.01, Garland County, Arkansas",1580.20,0.42,0.37,0.89,120,0.81,0.00,0.47,0.00,0.42,0.19,0.45,0.79,0.56,0.27,0.93,0.14,0.26,1979.00,1.00,0.00,0.25,0.00
"Block Group 3, Census Tract 112.01, Garland County, Arkansas",654.60,0.85,0.58,0.13,137,0.82,0.00,0.12,0.05,0.82,0.10,0.36,0.95,0.63,0.30,0.88,0.02,0.11,1996.00,0.76,0.00,0.16,0.00
"Block Group 4, Census Tract 112.01, Garland County, Arkansas",889.10,3.29,0.51,0.28,371,0.71,0.00,0.17,0.05,0.63,0.16,0.35,0.76,0.46,0.16,0.82,0.09,0.37,2001.00,0.83,0.24,0.16,0.00
"Block Group 1, Census Tract 112.02, Garland County, Arkansas",519.60,3.71,0.52,0.15,593,0.47,0.00,0.28,0.01,0.61,0.19,0.36,0.86,0.45,0.35,0.73,0.09,0.27,1980.00,0.57,0.00,0.25,0.00
"Block Group 2, Census Tract 112.02, Garland County, Arkansas",2034.20,0.94,0.55,0.45,419,0.73,0.00,0.25,0.02,0.46,0.23,0.34,0.83,0.51,0.32,0.73,0.07,0.18,1994.00,0.61,0.42,0.08,0.00
"Block Group 1, Census Tract 113, Garland County, Arkansas",2703.40,0.29,0.53,1.00,195,0.54,0.45,0.29,0.05,0.63,0.21,0.00,0.68,0.30,0.19,0.66,0.11,0.26,1955.00,0.44,0.34,0.00,0.00
"Block Group 2, Census Tract 113, Garland County, Arkansas",4703.80,0.27,0.57,0.33,371,0.71,0.00,0.14,0.00,0.92,0.13,0.58,0.87,0.58,0.20,0.82,0.00,0.02,1957.00,0.30,0.26,0.09,0.00
"Block Group 3, Census Tract 113, Garland County, Arkansas",719.20,2.52,0.47,0.70,519,0.54,0.14,0.24,0.02,0.39,0.38,0.20,0.95,0.30,0.17,0.80,0.00,0.25,1971.00,0.35,0.13,0.17,0.00
"Block Group 4, Census Tract 113, Garland County, Arkansas",1644.20,0.80,0.69,1.00,283,0.63,0.00,0.28,0.00,0.43,0.30,0.33,0.84,0.35,0.33,0.45,0.03,0.19,1973.00,0.67,0.03,0.16,0.00
